user_id,age_group,gender,region,primary_platform,daily_usage_mins,posts_per_week,accounts_followed,engagement_rate_pct,years_active,daily_category
U0030,13-17,Female,Rural,YouTube,40.4,2,14.0,14.399999999999999,12,Moderate (30-60m)
U0031,25-34,Female,Urban,YouTube,35.7,3,76.0,4.9,11,Moderate (30-60m)
U0032,18-24,Other,Suburban,WhatsApp,70.6,1,53.0,22.900000000000002,6,High (1-2h)
U0033,13-17,Other,Urban,Facebook,166.4,2,103.0,25.3,9,Very High (2-5h)
U0034,55+,Female,Urban,Instagram,52.9,4,58.0,47.4,3,Moderate (30-60m)
U0035,55+,Female,Urban,YouTube,17.5,6,8.0,5.800000000000001,9,Low (<30m)
U0036,35-44,Female,Suburban,Instagram,112.3,4,56.0,4.7,9,High (1-2h)
U0037,18-24,Female,Urban,Instagram,61.6,1,62.0,4.9,12,High (1-2h)
U0038,13-17,Male,Suburban,WhatsApp,79.1,4,193.0,20.8,13,High (1-2h)
U0039,35-44,Male,Urban,Instagram,37.1,4,39.0,7.5,12,Moderate (30-60m)
U0040,25-34,Male,Urban,YouTube,70.1,1,675.0,37.5,1,High (1-2h)
U0041,18-24,Female,Suburban,Facebook,19.9,5,9.0,6.7,3,Low (<30m)
U0042,25-34,Female,Suburban,Instagram,187.8,2,434.0,7.000000000000001,6,Very High (2-5h)
U0043,13-17,Male,Urban,WhatsApp,125.3,1,69.0,24.2,8,Very High (2-5h)
U0044,45-54,Female,Suburban,Instagram,68.0,4,253.0,13.4,4,High (1-2h)
U0045,18-24,Female,Rural,Snapchat,110.4,3,99.0,11.799999999999999,5,High (1-2h)
U0046,35-44,Male,Suburban,YouTube,40.5,3,353.0,21.9,9,Moderate (30-60m)
U0047,18-24,Male,Urban,Twitter/X,121.9,6,57.0,27.700000000000003,6,Very High (2-5h)
U0048,25-34,Female,Urban,WhatsApp,51.3,4,24.0,26.3,12,Moderate (30-60m)
U0049,25-34,Female,Rural,Instagram,48.8,9,495.0,6.7,7,Moderate (30-60m)
U0050,18-24,Female,Urban,WhatsApp,31.3,3,79.0,28.799999999999997,7,Moderate (30-60m)
U0051,55+,Female,Rural,Snapchat,85.6,2,117.0,44.2,4,High (1-2h)
U0052,35-44,Female,Suburban,WhatsApp,66.1,3,396.0,39.6,4,High (1-2h)
U0053,55+,Female,Rural,Twitter/X,149.4,2,26.0,12.3,4,Very High (2-5h)
U0054,45-54,Female,Suburban,LinkedIn,28.5,5,184.0,20.9,14,Low (<30m)
U0055,25-34,Female,Rural,Instagram,85.8,4,44.0,33.7,11,High (1-2h)
U0056,45-54,Male,Urban,Instagram,132.8,3,77.0,11.200000000000001,5,Very High (2-5h)
U0057,13-17,Male,Suburban,WhatsApp,74.0,5,98.0,38.5,5,High (1-2h)
U0058,18-24,Male,Urban,YouTube,50.6,3,15.0,12.8,8,Moderate (30-60m)
U0059,13-17,Female,Suburban,Twitter/X,72.7,1,35.0,7.9,9,High (1-2h)
U0060,18-24,Female,Suburban,LinkedIn,142.3,3,455.0,5.7,2,Very High (2-5h)
U0061,25-34,Female,Rural,YouTube,142.2,7,261.0,27.0,11,Very High (2-5h)
U0062,18-24,Male,Rural,Instagram,59.9,3,83.0,6.2,7,Moderate (30-60m)
U0063,35-44,Male,Suburban,Facebook,140.7,2,121.0,17.9,1,Very High (2-5h)
U0064,25-34,Male,Urban,Instagram,64.0,5,63.0,60.699999999999996,1,High (1-2h)
U0065,18-24,Male,Urban,Twitter/X,109.6,2,458.0,10.8,4,High (1-2h)
U0066,25-34,Female,Suburban,YouTube,92.3,4,71.0,46.6,10,High (1-2h)
U0067,18-24,Male,Urban,WhatsApp,49.2,1,119.0,28.1,7,Moderate (30-60m)
U0068,35-44,Male,Urban,Instagram,32.2,3,356.0,19.2,2,Moderate (30-60m)
U0069,13-17,Female,Urban,WhatsApp,134.9,8,35.0,12.6,11,Very High (2-5h)
U0070,55+,Male,Urban,YouTube,158.0,3,584.0,20.599999999999998,2,Very High (2-5h)
U0071,35-44,Female,Urban,WhatsApp,84.5,5,14.0,3.1,1,High (1-2h)
U0072,18-24,Female,Urban,Instagram,63.9,6,636.0,7.9,10,High (1-2h)
U0073,13-17,Male,Urban,Facebook,25.6,5,58.0,11.0,2,Low (<30m)
U0074,35-44,Female,Urban,Twitter/X,132.8,4,67.0,35.199999999999996,13,Very High (2-5h)
U0075,35-44,Female,Rural,Instagram,78.3,3,9.0,29.7,7,High (1-2h)
U0076,35-44,Female,Urban,Instagram,54.2,4,52.0,32.5,9,Moderate (30-60m)
U0077,35-44,Male,Urban,Instagram,111.6,0,26.0,4.6,6,High (1-2h)
U0078,13-17,Female,Suburban,WhatsApp,21.8,8,43.0,11.600000000000001,10,Low (<30m)
U0079,25-34,Female,Urban,WhatsApp,30.1,2,76.0,37.1,2,Moderate (30-60m)
U0080,18-24,Male,Rural,YouTube,39.4,4,284.0,19.3,12,Moderate (30-60m)
U0081,45-54,Male,Suburban,Instagram,90.4,0,115.0,44.2,10,High (1-2h)
U0082,25-34,Other,Urban,YouTube,73.3,1,130.0,5.4,10,High (1-2h)
U0083,18-24,Female,Urban,WhatsApp,97.3,7,24.0,9.6,13,High (1-2h)
U0084,13-17,Male,Rural,YouTube,127.3,4,31.0,33.1,9,Very High (2-5h)
U0085,18-24,Female,Rural,Snapchat,99.5,5,779.0,12.1,7,High (1-2h)
U0086,18-24,Male,Suburban,Instagram,190.2,1,37.0,18.6,11,Very High (2-5h)
U0087,35-44,Male,Suburban,WhatsApp,127.2,5,657.0,22.7,1,Very High (2-5h)
U0088,25-34,Male,Urban,YouTube,59.8,1,67.0,30.7,12,Moderate (30-60m)
U0089,45-54,Male,Rural,YouTube,44.1,2,90.0,10.6,9,Moderate (30-60m)
U0090,25-34,Male,Urban,Facebook,61.1,1,325.0,11.700000000000001,2,High (1-2h)
U0091,18-24,Male,Rural,WhatsApp,101.6,4,414.0,40.8,4,High (1-2h)
U0092,35-44,Female,Suburban,Snapchat,47.6,3,79.0,44.0,9,Moderate (30-60m)
U0093,35-44,Male,Suburban,Instagram,103.4,1,56.0,21.099999999999998,4,High (1-2h)
U0094,25-34,Male,Suburban,Instagram,96.1,3,84.0,28.999999999999996,3,High (1-2h)
U0095,35-44,Female,Urban,Facebook,31.8,2,135.0,17.7,1,Moderate (30-60m)
U0096,25-34,Male,Urban,WhatsApp,125.7,2,262.0,11.4,7,Very High (2-5h)
U0097,25-34,Female,Urban,Instagram,82.6,1,90.0,28.299999999999997,6,High (1-2h)
U0098,25-34,Male,Urban,Instagram,184.6,3,189.0,14.7,10,Very High (2-5h)
U0099,13-17,Male,Suburban,Instagram,64.1,2,643.0,20.4,4,High (1-2h)
U0100,18-24,Male,Urban,LinkedIn,52.5,3,142.0,11.799999999999999,6,Moderate (30-60m)
U0101,13-17,Male,Urban,Instagram,28.7,3,131.0,25.4,6,Low (<30m)
U0102,25-34,Male,Rural,YouTube,28.3,5,15.0,10.6,13,Low (<30m)
U0103,18-24,Male,Rural,Instagram,116.6,6,4.0,53.0,4,High (1-2h)
U0104,25-34,Male,Rural,YouTube,173.6,3,143.0,19.3,14,Very High (2-5h)
U0105,45-54,Male,Rural,Instagram,60.5,5,80.0,26.200000000000003,13,High (1-2h)
U0106,18-24,Male,Urban,YouTube,57.8,2,49.0,24.8,6,Moderate (30-60m)
U0107,25-34,Male,Urban,Instagram,68.1,2,121.0,6.3,10,High (1-2h)
U0108,35-44,Male,Suburban,Twitter/X,131.0,4,84.0,22.1,11,Very High (2-5h)
U0109,18-24,Female,Suburban,Instagram,32.0,3,348.0,18.6,8,Moderate (30-60m)
U0110,13-17,Female,Urban,YouTube,76.1,2,100.0,26.5,13,High (1-2h)
U0111,18-24,Male,Rural,LinkedIn,118.3,1,37.0,14.899999999999999,3,High (1-2h)
U0112,18-24,Female,Urban,WhatsApp,89.7,5,295.0,22.5,4,High (1-2h)
U0113,45-54,Female,Urban,YouTube,5.0,3,69.0,3.5999999999999996,10,Low (<30m)
U0114,35-44,Male,Suburban,YouTube,99.8,4,169.0,35.9,13,High (1-2h)
U0115,25-34,Female,Suburban,YouTube,90.3,1,51.0,33.800000000000004,12,High (1-2h)
U0116,45-54,Female,Suburban,WhatsApp,146.5,3,41.0,34.1,14,Very High (2-5h)
U0117,35-44,Male,Urban,Snapchat,165.4,4,100.0,29.5,1,Very High (2-5h)
U0118,18-24,Male,Rural,WhatsApp,142.1,2,91.0,7.5,4,Very High (2-5h)
U0119,45-54,Female,Urban,WhatsApp,68.4,2,160.0,30.599999999999998,11,High (1-2h)
U0120,25-34,Female,Urban,Facebook,16.8,2,65.0,23.0,10,Low (<30m)
U0121,35-44,Male,Rural,YouTube,57.5,4,10.0,28.9,10,Moderate (30-60m)
U0122,45-54,Male,Rural,Instagram,66.9,5,54.0,3.1,12,High (1-2h)
U0123,18-24,Male,Rural,WhatsApp,172.3,2,233.0,8.799999999999999,14,Very High (2-5h)
U0124,18-24,Female,Rural,Snapchat,37.4,2,63.0,12.2,9,Moderate (30-60m)
U0125,18-24,Female,Suburban,Instagram,22.4,4,67.0,33.6,8,Low (<30m)
U0126,25-34,Male,Suburban,WhatsApp,47.8,0,294.0,49.6,11,Moderate (30-60m)
U0127,35-44,Male,Urban,Instagram,39.0,3,38.0,21.9,4,Moderate (30-60m)
U0128,45-54,Female,Urban,YouTube,20.6,0,14.0,13.3,12,Low (<30m)
U0129,13-17,Male,Urban,Instagram,61.4,2,74.0,9.0,7,High (1-2h)
U0130,25-34,Male,Urban,YouTube,68.7,2,50.0,11.0,10,High (1-2h)
U0131,25-34,Female,Suburban,Facebook,19.5,1,28.0,10.100000000000001,3,Low (<30m)
U0132,18-24,Female,Suburban,YouTube,52.3,4,73.0,17.0,9,Moderate (30-60m)
U0133,18-24,Female,Urban,WhatsApp,37.1,5,162.0,11.899999999999999,10,Moderate (30-60m)
U0134,18-24,Female,Urban,Facebook,70.2,1,89.0,15.9,4,High (1-2h)
U0135,55+,Male,Suburban,LinkedIn,74.9,4,130.0,12.1,2,High (1-2h)
U0136,18-24,Male,Urban,Instagram,37.1,0,793.0,2.0,10,Moderate (30-60m)
U0137,25-34,Female,Rural,YouTube,125.0,6,60.0,26.5,5,Very High (2-5h)
U0138,35-44,Male,Suburban,Instagram,65.9,5,126.0,25.2,2,High (1-2h)
U0139,25-34,Male,Suburban,Snapchat,38.5,1,49.0,16.0,14,Moderate (30-60m)
U0140,55+,Male,Suburban,LinkedIn,18.5,5,33.0,25.3,10,Low (<30m)
U0141,55+,Male,Rural,YouTube,77.5,1,45.0,6.800000000000001,6,High (1-2h)
U0142,18-24,Male,Urban,Twitter/X,90.2,4,51.0,41.4,11,High (1-2h)
U0143,25-34,Male,Suburban,YouTube,45.9,2,139.0,30.9,10,Moderate (30-60m)
U0144,18-24,Male,Suburban,WhatsApp,71.7,1,1509.0,18.3,1,High (1-2h)
U0145,18-24,Male,Urban,Instagram,165.3,3,38.0,11.4,14,Very High (2-5h)
U0146,13-17,Female,Rural,Facebook,113.2,3,55.0,32.5,6,High (1-2h)
U0147,25-34,Female,Suburban,Instagram,8.8,6,83.0,5.7,4,Low (<30m)
U0148,25-34,Female,Suburban,Twitter/X,38.1,0,145.0,20.4,3,Moderate (30-60m)
U0149,13-17,Female,Rural,Facebook,59.4,3,124.0,7.6,2,Moderate (30-60m)
U0150,18-24,Female,Rural,Facebook,68.5,5,420.0,36.6,7,High (1-2h)
U0151,45-54,Male,Suburban,Instagram,72.7,1,5.0,3.3000000000000003,9,High (1-2h)
U0152,18-24,Female,Rural,YouTube,86.5,3,5.0,21.4,12,High (1-2h)
U0153,18-24,Female,Suburban,Instagram,60.7,4,50.0,10.4,3,High (1-2h)
U0154,25-34,Female,Suburban,YouTube,65.8,2,336.0,27.400000000000002,6,High (1-2h)
U0155,55+,Male,Suburban,Instagram,116.8,3,14.0,13.0,9,High (1-2h)
U0156,18-24,Male,Suburban,LinkedIn,78.5,7,2.0,20.8,2,High (1-2h)
U0157,35-44,Male,Urban,WhatsApp,26.4,1,179.0,22.6,7,Low (<30m)
U0158,35-44,Male,Rural,YouTube,69.9,3,121.0,19.400000000000002,5,High (1-2h)
U0159,18-24,Female,Rural,YouTube,59.5,3,24.0,14.399999999999999,5,Moderate (30-60m)
U0160,35-44,Female,Urban,YouTube,12.3,1,28.0,27.700000000000003,11,Low (<30m)
U0161,25-34,Male,Rural,WhatsApp,72.3,1,28.0,25.7,7,High (1-2h)
U0162,25-34,Other,Urban,YouTube,29.4,2,103.0,18.099999999999998,9,Low (<30m)
U0163,25-34,Female,Urban,LinkedIn,117.9,2,42.0,19.3,4,High (1-2h)
U0164,25-34,Male,Suburban,YouTube,85.7,6,163.0,9.2,9,High (1-2h)
U0165,13-17,Male,Urban,Snapchat,25.3,1,3.0,20.9,14,Low (<30m)
U0166,45-54,Male,Rural,Twitter/X,114.6,3,32.0,13.600000000000001,13,High (1-2h)
U0167,18-24,Male,Rural,Instagram,147.9,3,23.0,12.2,11,Very High (2-5h)
U0168,18-24,Male,Suburban,LinkedIn,54.6,4,66.0,15.7,10,Moderate (30-60m)
U0169,13-17,Male,Urban,Instagram,59.2,2,47.0,9.700000000000001,9,Moderate (30-60m)
U0170,25-34,Male,Urban,Twitter/X,107.8,3,234.0,37.6,13,High (1-2h)
U0171,35-44,Male,Suburban,YouTube,141.3,4,10.0,5.7,4,Very High (2-5h)
U0172,13-17,Female,Rural,Twitter/X,15.8,2,95.0,30.099999999999998,3,Low (<30m)
U0173,25-34,Male,Suburban,Twitter/X,27.7,3,176.0,6.9,2,Low (<30m)
U0174,18-24,Female,Urban,Twitter/X,48.5,2,835.0,44.2,9,Moderate (30-60m)
U0175,25-34,Male,Suburban,Facebook,52.3,4,50.0,5.8999999999999995,12,Moderate (30-60m)
U0176,18-24,Other,Suburban,YouTube,105.9,1,133.0,9.9,2,High (1-2h)
U0177,35-44,Male,Suburban,Instagram,141.7,3,10.0,44.2,6,Very High (2-5h)
U0178,25-34,Male,Urban,YouTube,148.2,5,5.0,57.699999999999996,5,Very High (2-5h)
U0179,55+,Other,Suburban,Instagram,15.4,2,248.0,21.9,14,Low (<30m)
U0180,18-24,Female,Suburban,WhatsApp,35.5,4,89.0,28.799999999999997,5,Moderate (30-60m)
U0181,18-24,Female,Rural,YouTube,42.2,2,370.0,24.9,4,Moderate (30-60m)
U0182,18-24,Male,Urban,Snapchat,35.4,1,17.0,10.100000000000001,6,Moderate (30-60m)
U0183,45-54,Male,Suburban,WhatsApp,85.6,3,168.0,19.400000000000002,5,High (1-2h)
U0184,45-54,Female,Rural,Twitter/X,92.2,4,848.0,21.9,11,High (1-2h)
U0185,18-24,Female,Urban,Instagram,65.3,7,149.0,2.4,4,High (1-2h)
U0186,35-44,Female,Rural,Twitter/X,61.2,4,125.0,26.200000000000003,13,High (1-2h)
U0187,35-44,Female,Suburban,LinkedIn,50.0,6,91.0,7.8,9,Moderate (30-60m)
U0188,25-34,Male,Urban,YouTube,54.2,4,14.0,7.7,13,Moderate (30-60m)
U0189,25-34,Female,Urban,WhatsApp,164.2,1,458.0,10.7,6,Very High (2-5h)
U0190,18-24,Male,Suburban,Facebook,100.9,1,43.0,33.0,11,High (1-2h)
U0191,13-17,Male,Urban,Instagram,51.3,7,165.0,14.899999999999999,10,Moderate (30-60m)
U0192,45-54,Male,Suburban,YouTube,60.4,4,14.0,28.9,10,High (1-2h)
U0193,45-54,Female,Urban,YouTube,86.8,3,22.0,28.000000000000004,13,High (1-2h)
U0194,25-34,Male,Suburban,Instagram,25.2,3,504.0,40.5,10,Low (<30m)
U0195,18-24,Male,Urban,YouTube,71.5,3,59.0,12.5,13,High (1-2h)
U0196,18-24,Female,Rural,Instagram,97.4,3,515.0,17.9,3,High (1-2h)
U0197,35-44,Male,Rural,Instagram,89.7,1,82.0,10.6,10,High (1-2h)
U0198,45-54,Female,Rural,Instagram,36.0,1,10.0,5.5,6,Moderate (30-60m)
U0199,45-54,Male,Suburban,Snapchat,41.3,3,263.0,40.400000000000006,14,Moderate (30-60m)
U0200,35-44,Female,Urban,YouTube,10.9,0,44.0,21.6,1,Low (<30m)
U0201,25-34,Female,Suburban,Snapchat,103.9,3,208.0,9.6,5,High (1-2h)
U0202,13-17,Male,Urban,YouTube,206.3,3,93.0,9.2,10,Very High (2-5h)
U0203,18-24,Male,Urban,YouTube,32.3,0,14.0,16.900000000000002,6,Moderate (30-60m)
U0204,45-54,Male,Urban,YouTube,126.7,2,110.0,41.3,11,Very High (2-5h)
U0205,25-34,Male,Suburban,YouTube,195.5,1,1256.0,41.5,8,Very High (2-5h)
U0206,13-17,Other,Suburban,Instagram,46.5,2,163.0,44.5,11,Moderate (30-60m)
U0207,18-24,Male,Suburban,WhatsApp,60.4,4,84.0,34.9,9,High (1-2h)
U0208,35-44,Female,Urban,Instagram,76.9,4,327.0,20.4,11,High (1-2h)
U0209,13-17,Male,Urban,WhatsApp,87.9,1,116.0,40.2,3,High (1-2h)
U0210,18-24,Female,Rural,WhatsApp,79.6,3,116.0,25.4,2,High (1-2h)
U0211,25-34,Female,Urban,Instagram,49.2,3,24.0,38.5,13,Moderate (30-60m)
U0212,35-44,Female,Suburban,Instagram,96.5,2,119.0,35.199999999999996,4,High (1-2h)
U0213,35-44,Male,Urban,Facebook,50.0,2,312.0,10.2,8,Moderate (30-60m)
U0214,18-24,Male,Suburban,YouTube,83.1,3,33.0,36.1,11,High (1-2h)
U0215,35-44,Male,Suburban,Instagram,63.7,2,497.0,56.10000000000001,8,High (1-2h)
U0216,18-24,Female,Urban,Snapchat,13.9,3,81.0,10.6,3,Low (<30m)
U0217,18-24,Female,Urban,Instagram,138.2,2,31.0,9.6,4,Very High (2-5h)
U0218,35-44,Other,Suburban,WhatsApp,42.1,1,298.0,26.400000000000002,3,Moderate (30-60m)
U0219,25-34,Male,Suburban,Snapchat,146.5,0,64.0,5.3,10,Very High (2-5h)
U0220,45-54,Female,Urban,Instagram,123.7,3,224.0,34.699999999999996,2,Very High (2-5h)
U0221,35-44,Female,Rural,Instagram,75.4,4,63.0,11.4,4,High (1-2h)
U0222,25-34,Male,Urban,Instagram,90.8,4,84.0,34.5,6,High (1-2h)
U0223,13-17,Male,Urban,YouTube,97.9,3,163.0,25.1,11,High (1-2h)
U0224,25-34,Female,Rural,Instagram,56.7,3,128.0,16.900000000000002,14,Moderate (30-60m)
U0225,18-24,Female,Urban,WhatsApp,58.5,6,8.0,37.9,11,Moderate (30-60m)
U0226,18-24,Female,Suburban,Instagram,94.9,4,23.0,18.7,5,High (1-2h)
U0227,55+,Male,Urban,YouTube,64.2,4,275.0,40.0,3,High (1-2h)
U0228,25-34,Female,Urban,Snapchat,49.3,5,77.0,20.599999999999998,2,Moderate (30-60m)
U0229,45-54,Male,Rural,Twitter/X,36.5,1,48.0,16.7,9,Moderate (30-60m)
U0230,25-34,Male,Urban,WhatsApp,84.7,4,18.0,12.5,1,High (1-2h)
U0231,35-44,Male,Rural,YouTube,41.1,2,25.0,16.900000000000002,9,Moderate (30-60m)
U0232,25-34,Female,Urban,WhatsApp,111.0,4,8.0,20.7,1,High (1-2h)
U0233,25-34,Female,Urban,YouTube,116.8,5,80.0,37.2,14,High (1-2h)
U0234,25-34,Female,Urban,YouTube,90.4,2,44.0,11.0,7,High (1-2h)
U0235,18-24,Male,Suburban,Instagram,102.6,4,28.0,9.5,6,High (1-2h)
U0236,35-44,Female,Urban,LinkedIn,90.6,1,83.0,10.4,7,High (1-2h)
U0237,18-24,Male,Rural,YouTube,107.1,2,139.0,27.3,3,High (1-2h)
U0238,13-17,Female,Suburban,Instagram,104.3,4,1110.0,18.9,14,High (1-2h)
U0239,25-34,Male,Rural,YouTube,81.8,1,15.0,21.3,3,High (1-2h)
U0240,18-24,Male,Urban,YouTube,124.6,1,362.0,45.2,13,Very High (2-5h)
U0241,55+,Male,Rural,Twitter/X,58.1,0,289.0,10.6,11,Moderate (30-60m)
U0242,55+,Male,Suburban,Facebook,37.3,3,35.0,23.7,1,Moderate (30-60m)
U0243,45-54,Female,Suburban,Facebook,35.9,3,115.0,30.8,4,Moderate (30-60m)
U0244,25-34,Female,Rural,Instagram,52.3,4,52.0,25.1,12,Moderate (30-60m)
U0245,13-17,Male,Suburban,YouTube,12.1,2,112.0,6.4,2,Low (<30m)
U0246,45-54,Female,Suburban,YouTube,74.9,3,551.0,35.0,10,High (1-2h)
U0247,25-34,Male,Urban,Instagram,98.7,6,186.0,26.5,8,High (1-2h)
U0248,55+,Female,Urban,Instagram,115.8,2,166.0,9.5,3,High (1-2h)
U0249,55+,Female,Rural,Facebook,16.7,2,54.0,34.599999999999994,7,Low (<30m)
U0250,45-54,Female,Suburban,Instagram,36.8,2,15.0,5.800000000000001,7,Moderate (30-60m)
U0251,18-24,Male,Suburban,YouTube,108.9,4,70.0,4.6,12,High (1-2h)
U0252,25-34,Female,Suburban,Instagram,56.8,1,383.0,20.7,9,Moderate (30-60m)
U0253,45-54,Female,Urban,Instagram,97.3,4,14.0,14.7,6,High (1-2h)
U0254,18-24,Male,Urban,Instagram,24.2,3,25.0,16.400000000000002,1,Low (<30m)
U0255,18-24,Male,Suburban,Snapchat,145.5,3,105.0,34.0,8,Very High (2-5h)
U0256,25-34,Female,Urban,Twitter/X,22.6,5,28.0,27.3,1,Low (<30m)
U0257,55+,Female,Urban,Snapchat,73.5,3,35.0,21.099999999999998,3,High (1-2h)
U0258,35-44,Female,Suburban,YouTube,74.7,1,54.0,2.7,11,High (1-2h)
U0259,25-34,Female,Urban,Instagram,45.6,1,17.0,34.4,5,Moderate (30-60m)
U0260,13-17,Female,Suburban,YouTube,88.4,3,28.0,22.400000000000002,8,High (1-2h)
U0261,25-34,Male,Urban,YouTube,90.0,5,209.0,24.7,9,High (1-2h)
U0262,55+,Male,Suburban,Twitter/X,83.9,4,19.0,1.2,7,High (1-2h)
U0263,18-24,Male,Urban,Instagram,45.0,2,13.0,45.2,9,Moderate (30-60m)
U0264,25-34,Female,Suburban,YouTube,38.9,7,42.0,15.4,11,Moderate (30-60m)
U0265,45-54,Male,Urban,Instagram,48.5,0,217.0,4.0,3,Moderate (30-60m)
U0266,35-44,Female,Urban,YouTube,35.0,4,71.0,46.9,13,Moderate (30-60m)
U0267,35-44,Female,Urban,Facebook,128.1,2,52.0,10.8,5,Very High (2-5h)
U0268,35-44,Female,Suburban,YouTube,51.6,3,95.0,41.4,10,Moderate (30-60m)
U0269,25-34,Male,Suburban,YouTube,72.1,1,11.0,26.400000000000002,8,High (1-2h)
U0270,18-24,Female,Urban,YouTube,108.7,3,163.0,20.7,12,High (1-2h)
U0271,35-44,Male,Suburban,YouTube,33.7,1,143.0,12.9,1,Moderate (30-60m)
U0272,35-44,Female,Rural,Facebook,21.8,3,55.0,33.7,8,Low (<30m)
U0273,45-54,Male,Suburban,LinkedIn,35.1,6,301.0,12.9,7,Moderate (30-60m)
U0274,45-54,Male,Urban,Snapchat,77.3,3,23.0,7.3999999999999995,1,High (1-2h)
U0275,25-34,Female,Suburban,Facebook,73.9,2,348.0,14.2,13,High (1-2h)
U0276,25-34,Male,Urban,YouTube,83.8,1,108.0,27.6,13,High (1-2h)
U0277,35-44,Male,Urban,WhatsApp,60.5,4,60.0,18.9,10,High (1-2h)
U0278,25-34,Female,Rural,YouTube,5.8,4,88.0,16.5,12,Low (<30m)
U0279,35-44,Female,Urban,Instagram,59.2,3,79.0,16.900000000000002,10,Moderate (30-60m)
U0280,35-44,Female,Suburban,Twitter/X,117.6,1,389.0,39.900000000000006,12,High (1-2h)
U0281,45-54,Female,Suburban,Instagram,136.3,4,25.0,10.0,6,Very High (2-5h)
U0282,18-24,Female,Suburban,LinkedIn,69.0,2,36.0,27.200000000000003,1,High (1-2h)
U0283,25-34,Male,Suburban,YouTube,74.1,4,312.0,42.8,2,High (1-2h)
U0284,13-17,Male,Urban,WhatsApp,96.2,1,44.0,31.2,5,High (1-2h)
U0285,25-34,Male,Urban,WhatsApp,134.0,5,265.0,11.5,2,Very High (2-5h)
U0286,13-17,Female,Suburban,LinkedIn,65.0,3,692.0,24.2,14,High (1-2h)
U0287,25-34,Female,Urban,WhatsApp,95.3,1,56.0,41.3,10,High (1-2h)
U0288,25-34,Male,Urban,WhatsApp,43.6,2,204.0,12.9,1,Moderate (30-60m)
U0289,18-24,Male,Urban,Instagram,24.6,1,23.0,18.5,6,Low (<30m)
U0290,25-34,Female,Urban,YouTube,47.0,5,223.0,22.900000000000002,8,Moderate (30-60m)
U0291,13-17,Male,Urban,Instagram,152.5,1,114.0,16.900000000000002,8,Very High (2-5h)
U0292,13-17,Female,Urban,Facebook,96.5,3,159.0,8.799999999999999,13,High (1-2h)
U0293,35-44,Female,Suburban,YouTube,26.6,2,41.0,3.4000000000000004,13,Low (<30m)
U0294,25-34,Female,Suburban,WhatsApp,99.3,3,12.0,17.8,8,High (1-2h)
